"","Id","Id.Type","Standard.Value"
"514","CHEMBL3974362","chemblid",10000
"515","CHEMBL3921227","chemblid",100
"516","CHEMBL3900193","chemblid",1000
"517","CHEMBL3968175","chemblid",10
"518","CHEMBL3923633","chemblid",10
"519","CHEMBL3907497","chemblid",0.1
"520","CHEMBL3924192","chemblid",10
"521","CHEMBL1923634","chemblid",100
"522","CHEMBL3935626","chemblid",100
"523","CHEMBL3978661","chemblid",100
"524","CHEMBL3938104","chemblid",10
"525","CHEMBL3926434","chemblid",10
"526","CHEMBL3977294","chemblid",100
"527","CHEMBL3929852","chemblid",10
"528","CHEMBL3800422","chemblid",3
"529","CHEMBL3798095","chemblid",3
"530","CHEMBL3645255","chemblid",10
"531","CHEMBL3798525","chemblid",46
"532","CHEMBL3800225","chemblid",1000
"533","CHEMBL3645260","chemblid",46
"534","CHEMBL3922981","chemblid",1000
"535","CHEMBL13817","chemblid",0.24
"536","CHEMBL3923467","chemblid",1000
"537","CHEMBL3918046","chemblid",0.1
"538","CHEMBL3963078","chemblid",100
"539","CHEMBL3937200","chemblid",10
"540","CHEMBL3959055","chemblid",1000
"541","CHEMBL3925047","chemblid",10000
"542","CHEMBL3971837","chemblid",10000
"543","CHEMBL3971540","chemblid",10
"544","CHEMBL3973254","chemblid",100
"545","CHEMBL3934367","chemblid",0.1
"546","CHEMBL3890889","chemblid",10
"547","CHEMBL3986375","chemblid",10
"548","CHEMBL3934854","chemblid",10000
"549","CHEMBL3922905","chemblid",10000
"550","CHEMBL3942846","chemblid",1000
"551","CHEMBL2048807","chemblid",213.8
"552","CHEMBL3287215","chemblid",69.18
"553","CHEMBL2426680","chemblid",25.12
"554","CHEMBL3934443","chemblid",10000
"555","CHEMBL3892517","chemblid",100
"556","CHEMBL3917416","chemblid",10000
"557","CHEMBL3902969","chemblid",10000
"558","CHEMBL3900636","chemblid",100
"559","CHEMBL2048823","chemblid",23
"560","CHEMBL2048817","chemblid",14
"561","CHEMBL3394205","chemblid",20
"562","CHEMBL3394204","chemblid",139
